"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R35","res,_0805,_HD","38.2mm","31.3mm","38.2mm","31.3mm","38.2mm","32.25mm","T","270.00","CR0805-J/-000ELF"
"U9","SOT23-5","18.75mm","31.5mm","18.75mm","31.5mm","17.8mm","30.1998mm","T","180.00","OPA197IDBVT"
"U8","SOT23-5","4.75mm","29.2mm","4.75mm","29.2mm","5.6999mm","30.5002mm","T","360.00","OPA197IDBVT"
"C41","CAP,_0805,_HD","18.825mm","6.4mm","18.825mm","6.4mm","19.841mm","6.4mm","T","180.00","C0805X102J1GACAUTO"
"C40","Cap,0805","25.7367mm","33.371mm","25.7367mm","33.371mm","25.7367mm","32.421mm","T","90.00","CL21A226MAQNNNE"
"C39","Cap,0805","28.1943mm","33.371mm","28.1943mm","33.371mm","28.1943mm","32.421mm","T","90.00","CL21A226MAQNNNE"
"C38","Cap,0805","33.1097mm","33.371mm","33.1097mm","33.371mm","33.1097mm","32.421mm","T","90.00","CL21A226MAQNNNE"
"C22","Cap,0805","30.652mm","33.371mm","30.652mm","33.371mm","30.652mm","32.421mm","T","90.00","CL21A226MAQNNNE"
"U6","SOT89-3","32.475mm","19.075mm","32.475mm","19.075mm","30.925mm","20.575mm","T","270.00","HT7550-1"
"U1","SOT89-3","32.475mm","24.075mm","32.475mm","24.075mm","30.925mm","25.575mm","T","270.00","UA78L12ACPKG3"
"C37","Cap,0805","25.7367mm","29.121mm","25.7367mm","29.121mm","25.7367mm","30.071mm","T","270.00","CL21A226MAQNNNE"
"C36","Cap,0805","28.1943mm","29.121mm","28.1943mm","29.121mm","28.1943mm","30.071mm","T","270.00","CL21A226MAQNNNE"
"C35","Cap,0805","33.1097mm","29.121mm","33.1097mm","29.121mm","33.1097mm","30.071mm","T","270.00","CL21A226MAQNNNE"
"C34","Cap,0805","30.652mm","29.121mm","30.652mm","29.121mm","30.652mm","30.071mm","T","270.00","CL21A226MAQNNNE"
"C33","Cap,0805","26.334mm","24.075mm","26.334mm","24.075mm","26.334mm","23.125mm","T","90.00","CL21A226MAQNNNE"
"C32","CAP,_0805,_HD","28.575mm","24.075mm","28.575mm","24.075mm","28.575mm","23.059mm","T","90.00","CC0805KRX7R9BB104"
"C31","CAP,_0805,_HD","36.475mm","22.575mm","36.475mm","22.575mm","36.475mm","23.591mm","T","270.00","CC0805KRX7R9BB104"
"C29","Cap,0805","28mm","39.8mm","28mm","39.8mm","27.05mm","39.8mm","T","360.00","CL21A226MAQNNNE"
"C30","Cap,0805","28mm","42.5mm","28mm","42.5mm","28.95mm","42.5mm","T","180.00","CL21A226MAQNNNE"
"R31","res,_0805,_HD","11.65mm","18.175mm","11.65mm","18.175mm","11.65mm","19.125mm","T","270.00","RG2012P-824-D-T5"
"R30","res,_0805,_HD","1.75mm","18.175mm","1.75mm","18.175mm","1.75mm","19.125mm","T","270.00","RG2012P-824-D-T5"
"R24","res,_0805,_HD","9.67mm","18.175mm","9.67mm","18.175mm","9.67mm","19.125mm","T","270.00","ERA-6AEB9763V"
"C23","CAP,_0805,_HD","4.85mm","32.6mm","4.85mm","32.6mm","5.866mm","32.6mm","T","180.00","CL21C222JBFNNNE"
"D6","SOT23-3","12.35mm","3.8mm","12.35mm","3.8mm","13.4088mm","2.8424mm","T","270.00","BAT54SLT1G"
"Logo1","Symbol,Open_Source_-_No_Text","-24.25mm","-35mm","18.95mm","21.3mm","-24.25mm","-35mm","T","360.00","Open Source Logo"
"R6","res,_0805,_HD","3.73mm","18.175mm","3.73mm","18.175mm","3.73mm","19.125mm","T","270.00","ERA-6AEB9763V"
"R10","res,_0805,_HD","4.85mm","34.8mm","4.85mm","34.8mm","5.8mm","34.8mm","T","180.00","ERA-6AEB471V"
"C21","CAP,_0805,_HD","5.05mm","25.75mm","5.05mm","25.75mm","4.034mm","25.75mm","T","360.00","CC0805KRX7R9BB104"
