Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~MelansonTech Isolated Current Sense.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\Shawn\circuitstudio projects\Isolated Current Sense\MelansonTech Isolated Current Sense\MelansonTech Isolated Current Sense.PrjPcb|ReportField=Title~BOM_PartType For Project [MelansonTech Isolated Current Sense.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~92|ReportField=ReportTime~1:13:03 PM|ReportField=ReportDate~2024-12-28|ReportField=ReportDateTime~2024-12-28 1:13:03 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MelansonTech Isolated Current Sense.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\Shawn\circuitstudio projects\Isolated Current Sense\MelansonTech Isolated Current Sense\MelansonTech Isolated Current Sense.PrjPcb
CC0805KRX7R9BB104|CAP CER 0.1UF 50V X7R 0805|C1, C2, C4, C5, C6, C19, C21, C24, C25, C26, C27, C31, C32|CAP, 0805, HD|Cap,0805,100nf,50V,5%,CC0805KRX7R9BB104|Yageo|Yageo|YAGEO|CC0805KRX7R9BB104|CC0805KRX7R9BB104|CC0805KRX7R9BB104|13|Digikey|Digikey|Mouser|USD|USD|CAD|1300|1300|1300|311-1140-6-ND|311-1140-1-ND|603-CC805KRX7R9BB104|3798158|3798158|1089571|22.88|22.88|41.6|0.0176|0.0176|0.032
CL21A226MAQNNNE|CAP CER 22UF 25V X5R 0805|C3, C14, C20, C22, C29, C30, C33, C34, C35, C36, C37, C38, C39, C40|Cap,0805|Cap,0805,22uF,25V,X5R,±20%,CL21A226MAQNNNE|Samsung Electro-Mechanics|Loading...|Loading...|CL31B226KPHNNNE|Loading...|Loading...|14|Mouser|Digikey|Digikey|CAD|Loading...|Loading...|1400|||187-CL31B226KPHNNNE|1276-2769-6-ND|1276-2769-1-ND|135766|||231|||0.165||
A750MV108M1EAAE014|1000 µF 25 V Aluminum - Polymer Capacitors Radial, Can 14mOhm 2000 Hrs @ 105°C|C7|Cap,5mm Lead Spaceing,14mm HIGH,10MM Dia, Polymer - RA1|Cap,Polar,TH,1000uF,25V,Polymer,±20%,A750MV108M1EAAE014|KEMET|KEMET||A750MV108M1EAAE014|A750MV108M1EAAE014||1|Digi-Key|Mouser||USD|CAD||100|100||399-A750MV108M1EAAE014-ND|80-A750MV108M1EAAE14||1419|2652||66|77.9||0.66|0.779|
CL31B475KBHNNNE|Cap,SMD,MLCC,4u7,50V,X7R,10%,1206|C11, C12|Cap, 1206|Cap,1206,4.7uF,10%,50V,CL31B475KBHNNNE|Supplier disabled|Loading...||Supplier disabled|Loading...||2|LCSC|Digi-Key||Supplier disabled|Loading...|||||C51205|1276-2789-1-ND||||||||||
CC0805KRX7R9BB104|CAP CER 0.1UF 50V X7R 0805|C13|Cap,0805|Cap,0805,100nf,50V,5%,CC0805KRX7R9BB104|Yageo|Yageo|YAGEO|CC0805KRX7R9BB104|CC0805KRX7R9BB104|CC0805KRX7R9BB104|1|Digikey|Digikey|Mouser|USD|USD|CAD|100|100|100|311-1140-6-ND|311-1140-1-ND|603-CC805KRX7R9BB104|3798158|3798158|1089571|2|2|3.6|0.02|0.02|0.036
S102K33Y5PP63K5R|CAP CER 1000PF 2KV Y5P RADIAL|C15|Cap, 5mm Lead Spaceing, 4mm dai|Cap,TH,Ceramic,5mm Spacing,1nF,2kV, S102K33Y5PP63K5R|||||||1|||||||||||||||||||||
CC0805CRNPO9BN3R0|CAP CER 3PF 50V C0G/NPO 0805|C16, C17, C28|CAP, 0805, HD|CAP,0805,3pF,COG,NPO,CC0805CRNPO9BN3R0|Loading...|Yageo|Yageo|Loading...|CC0805CRNPO9BN3R0|CC0805CRNPO9BN3R0|3|Future Electronics|Arrow Electronics|Digikey|Loading...|USD|USD||4000|300|9724337|CC0805CRNPO9BN3R0|311-1092-1-ND||64000|135446||35.6|10.56||0.0089|0.0352
C0805X102J1GACAUTO|CAPACITOR, 1NF, 100V, NP0, 0805|C18, C41|CAP, 0805, HD|Cap,0805,1nF,±5%,100Vdc,CL10F104ZB8NNNC|KEMET|||C0805X102J1GACAUTO|||2|Digi-Key|||USD|||200|||399-19430-1-ND|||3270|||39.9|||0.1995||
3.3nF||C23|CAP, 0805, HD|CAP,0805,Generic|||||||1|||||||||||||||||||||
DR331-105BE|CMC 1MH 500MA 2LN SMD|CM1|CM Choke,SMD, DR331|common mode, 1mH@100kHz, 500mA, SMD,2ln, DR331-105BE|||||||1|||||||||||||||||||||
