Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer 4~String~Manufacturer 4~100|Field=Manufacturer 5~String~Manufacturer 5~100|Field=Manufacturer 6~String~Manufacturer 6~100|Field=Manufacturer 7~String~Manufacturer 7~100|Field=Manufacturer 8~String~Manufacturer 8~100|Field=Manufacturer 9~String~Manufacturer 9~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|Field=Manufacturer Part Number 4~String~Manufacturer Part Number 4~100|Field=Manufacturer Part Number 5~String~Manufacturer Part Number 5~100|Field=Manufacturer Part Number 6~String~Manufacturer Part Number 6~100|Field=Manufacturer Part Number 7~String~Manufacturer Part Number 7~100|Field=Manufacturer Part Number 8~String~Manufacturer Part Number 8~100|Field=Manufacturer Part Number 9~String~Manufacturer Part Number 9~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier 3~String~Supplier 3~100|Field=Supplier 4~String~Supplier 4~100|Field=Supplier 5~String~Supplier 5~100|Field=Supplier 6~String~Supplier 6~100|Field=Supplier 7~String~Supplier 7~100|Field=Supplier 8~String~Supplier 8~100|Field=Supplier 9~String~Supplier 9~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Currency 3~String~Supplier Currency 3~100|Field=Supplier Currency 4~String~Supplier Currency 4~100|Field=Supplier Currency 5~String~Supplier Currency 5~100|Field=Supplier Currency 6~String~Supplier Currency 6~100|Field=Supplier Currency 7~String~Supplier Currency 7~100|Field=Supplier Currency 8~String~Supplier Currency 8~100|Field=Supplier Currency 9~String~Supplier Currency 9~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Order Qty 3~Integer~Supplier Order Qty 3~100|Field=Supplier Order Qty 4~Integer~Supplier Order Qty 4~100|Field=Supplier Order Qty 5~Integer~Supplier Order Qty 5~100|Field=Supplier Order Qty 6~Integer~Supplier Order Qty 6~100|Field=Supplier Order Qty 7~Integer~Supplier Order Qty 7~100|Field=Supplier Order Qty 8~Integer~Supplier Order Qty 8~100|Field=Supplier Order Qty 9~Integer~Supplier Order Qty 9~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Part Number 3~String~Supplier Part Number 3~100|Field=Supplier Part Number 4~String~Supplier Part Number 4~100|Field=Supplier Part Number 5~String~Supplier Part Number 5~100|Field=Supplier Part Number 6~String~Supplier Part Number 6~100|Field=Supplier Part Number 7~String~Supplier Part Number 7~100|Field=Supplier Part Number 8~String~Supplier Part Number 8~100|Field=Supplier Part Number 9~String~Supplier Part Number 9~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Stock 3~Integer~Supplier Stock 3~100|Field=Supplier Stock 4~Integer~Supplier Stock 4~100|Field=Supplier Stock 5~Integer~Supplier Stock 5~100|Field=Supplier Stock 6~Integer~Supplier Stock 6~100|Field=Supplier Stock 7~Integer~Supplier Stock 7~100|Field=Supplier Stock 8~Integer~Supplier Stock 8~100|Field=Supplier Stock 9~Integer~Supplier Stock 9~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Subtotal 3~Float~Supplier Subtotal 3~100|Field=Supplier Subtotal 4~Float~Supplier Subtotal 4~100|Field=Supplier Subtotal 5~Float~Supplier Subtotal 5~100|Field=Supplier Subtotal 6~Float~Supplier Subtotal 6~100|Field=Supplier Subtotal 7~Float~Supplier Subtotal 7~100|Field=Supplier Subtotal 8~Float~Supplier Subtotal 8~100|Field=Supplier Subtotal 9~Float~Supplier Subtotal 9~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|Field=Supplier Unit Price 3~Float~Supplier Unit Price 3~100|Field=Supplier Unit Price 4~Float~Supplier Unit Price 4~100|Field=Supplier Unit Price 5~Float~Supplier Unit Price 5~100|Field=Supplier Unit Price 6~Float~Supplier Unit Price 6~100|Field=Supplier Unit Price 7~Float~Supplier Unit Price 7~100|Field=Supplier Unit Price 8~Float~Supplier Unit Price 8~100|Field=Supplier Unit Price 9~Float~Supplier Unit Price 9~100|ReportField=Currency~CAD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~MelansonTech Isolated Current Sense Rev 2.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\ProjectGitReleases\Melanson-Tech-Isolated-Shunt-Amplifier\Revision 2\MelansonTech Isolated Current Sense Rev 2.PrjPcb|ReportField=Title~BOM_PartType For Project [MelansonTech Isolated Current Sense Rev 2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~101|ReportField=ReportTime~5:18:39 PM|ReportField=ReportDate~2025-04-20|ReportField=ReportDateTime~2025-04-20 5:18:39 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MelansonTech Isolated Current Sense Rev 2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\ProjectGitReleases\Melanson-Tech-Isolated-Shunt-Amplifier\Revision 2\MelansonTech Isolated Current Sense Rev 2.PrjPcb
CC0805KRX7R9BB104|CAP CER 0.1UF 50V X7R 0805|C1, C2, C4, C5, C6, C19, C21, C24, C25, C26, C27, C31, C32|CAP, 0805, HD|Cap,0805,100nf,50V,5%,CC0805KRX7R9BB104|Loading...|Loading...|Loading...|Loading...|Loading...|Loading...||||Loading...|Loading...|Loading...|Loading...|Loading...|Loading...||||13|Digikey|Digikey|Mouser|Arrow Electronics|Digikey|Future Electronics||||Loading...|Loading...|Loading...|Loading...|Loading...|Loading...|||||||||||||311-1140-6-ND|311-1140-1-ND|603-CC805KRX7R9BB104|CC0805KRX7R9BB104|311-1140-2-ND|2986263||||||||||||||||||||||||||||||
CL21A226MAQNNNE|CAP CER 22UF 25V X5R 0805|C3, C10, C14, C20, C22, C29, C30, C33, C34, C35, C36, C37, C38, C39, C40|Cap,0805|Cap,0805,22uF,25V,X5R,±20%,CL21A226MAQNNNE|Loading...|Loading...|Loading...|||||||Loading...|Loading...|Loading...|||||||15|Mouser|Digikey|Digikey|||||||Loading...|Loading...|Loading...||||||||||||||||187-CL31B226KPHNNNE|1276-2769-6-ND|1276-2769-1-ND|||||||||||||||||||||||||||||||||
A750MV108M1EAAE014|1000 µF 25 V Aluminum - Polymer Capacitors Radial, Can 14mOhm 2000 Hrs @ 105°C|C7|Cap,5mm Lead Spaceing,14mm HIGH,10MM Dia, Polymer - RA1|Cap,Polar,TH,1000uF,25V,Polymer,±20%,A750MV108M1EAAE014|KEMET|Loading...||||||||A750MV108M1EAAE014|Loading...||||||||1|Digi-Key|Mouser||||||||CAD|Loading...||||||||100|||||||||399-A750MV108M1EAAE014-ND|80-A750MV108M1EAAE14||||||||957|||||||||81.87146|||||||||0.81871||||||||
CC0805JRNPO9BN561|CAP CER 560PF 50V C0G/NPO 0805|C8|CAP, 0805, HD|Cap,0805,560pF,50V,±5%,C0G,NP0,CC0805JRNPO9BN561|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CL21B473KCFNNNE|CAP CER 0.047UF 100V X7R 0805|C9|CAP, 0805, HD|Cap,0805,47nF,100V,±10%,CL21B473KCFNNNE|Samsung|||||||||CL21B473KCFNNNE|||||||||1|Digikey|||||||||CAD|||||||||100|||||||||1276-2960-1-ND|||||||||173465|||||||||3.11905|||||||||0.03119||||||||
CL31B475KBHNNNE|Cap,SMD,MLCC,4u7,50V,X7R,10%,1206|C11, C12|Cap, 1206|Cap,1206,4.7uF,10%,50V,CL31B475KBHNNNE|Supplier disabled|Samsung||||||||Supplier disabled|CL31B475KBHNNNE||||||||2|LCSC|Digi-Key||||||||Supplier disabled|CAD|||||||||200||||||||C51205|1276-2789-1-ND|||||||||132024|||||||||31.19049|||||||||0.15595|||||||
CC0805KRX7R9BB104|CAP CER 0.1UF 50V X7R 0805|C13|Cap,0805|Cap,0805,100nf,50V,5%,CC0805KRX7R9BB104|Loading...|Loading...|Loading...|Loading...|Loading...|Loading...||||Loading...|Loading...|Loading...|Loading...|Loading...|Loading...||||1|Digikey|Digikey|Mouser|Arrow Electronics|Digikey|Future Electronics||||Loading...|Loading...|Loading...|Loading...|Loading...|Loading...|||||||||||||311-1140-6-ND|311-1140-1-ND|603-CC805KRX7R9BB104|CC0805KRX7R9BB104|311-1140-2-ND|2986263||||||||||||||||||||||||||||||
S102K33Y5PP63K5R|CAP CER 1000PF 2KV Y5P RADIAL|C15|Cap, 5mm Lead Spaceing, 4mm dai|Cap,TH,Ceramic,5mm Spacing,1nF,2kV, S102K33Y5PP63K5R|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CC0805CRNPO9BN3R0|CAP CER 3PF 50V C0G/NPO 0805|C16, C17, C28|CAP, 0805, HD|CAP,0805,3pF,COG,NPO,CC0805CRNPO9BN3R0|Loading...|Yageo|Yageo|Yageo|Yageo|Loading...||||Loading...|CC0805CRNPO9BN3R0|CC0805CRNPO9BN3R0|CC0805CRNPO9BN3R0|CC0805CRNPO9BN3R0|Loading...||||3|Future Electronics|Arrow Electronics|Digikey|Digikey|Digikey|Mouser||||Loading...|CAD|CAD|CAD|CAD|Loading...|||||300|300|300|300|||||9724337|CC0805CRNPO9BN3R0|311-1092-1-ND|311-1092-6-ND|311-1092-2-ND|603-CC805CRNPO9BN3R0|||||64000|119264|119264|116000|||||||15.04905|15.04905||||||||0.05016|0.05016|||||
CC0805KPX7R9BB332|CAP CER 3300PF 50V X7R 0805|C18|CAP, 0805, HD|Cap,0805,3.3nF,50V,±10%,CC0805KPX7R9BB332|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CC0805JRNPO9BN561|CAP CER 560PF 50V C0G/NPO 0805|C23|Cap,0805|Cap,0805,560pF,50V,±5%,C0G,NP0,CC0805JRNPO9BN561|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
C0805X102J1GACAUTO|CAPACITOR, 1NF, 100V, NP0, 0805|C41|CAP, 0805, HD|Cap,0805,1nF,±5%,100Vdc,CL10F104ZB8NNNC|KEMET|||||||||C0805X102J1GACAUTO|||||||||1|Digi-Key|||||||||CAD|||||||||100|||||||||399-19430-1-ND|||||||||2105|||||||||27.56837|||||||||0.27568||||||||
DR331-105BE|CMC 1MH 500MA 2LN SMD|CM1|CM Choke,SMD, DR331|common mode, 1mH@100kHz, 500mA, SMD,2ln, DR331-105BE|||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
MBR0560|Dio,Sig,Schtky,0.5A,60V,SOD123|D1, D3|SOD123|Diode,SOD123,Shottky,60V,0.5A,MBR0560|MCC|Supplier disabled||||||||MBR0560-TP|Supplier disabled||||||||2|Digi-Key|LCSC||||||||CAD|Supplier disabled||||||||200|||||||||MBR0560TPMSCT-ND|C150515||||||||421005|||||||||22.10644|||||||||0.11053||||||||
OVLBB4C7|Blue 470nm LED Indication - Discrete 3.2V Radial|D4, D5|LED,TH,T1,3MM-Vert|LED,TH,T1,3mm,Blue,OVLBB4C7|||||||||||||||||||2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
BAT54SLT1G|Diode Array 1 Pair Series Connection Schottky 30V 200mA (DC) Surface Mount TO-236-3, SC-59, SOT-23-3|D6|SOT23-3|Diode,Shottky,Array,Series,30V,200mA,BAT54SLT1G|Loading...|Supplier disabled||||||||Loading...|Supplier disabled||||||||1|Digi-Key|LCSC||||||||Loading...|Supplier disabled|||||||||||||||||BAT54SLT1GOSCT-ND|C19726||||||||||||||||||||||||||||||||||
